Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
11bd4c07-76a6-4ebe-87f4-39d7313fc2be,"2020-05-31, 08:12:20 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,46.99.3.58
6441747f-a903-4ebb-a7b9-10f568187cee,"2020-05-31, 08:12:20 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::568283627415:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYIUCX76L6L55FN27W""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.99.3.58
1f02a720-e352-4a19-9d70-d2db9113f56d,"2020-05-31, 08:11:44 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.99.3.58
b6ec8a07-ba99-45ec-af8a-e668a0d6618a,"2020-05-31, 08:11:44 PM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAYIUCX76LZCUMJN7L""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.99.3.58
7b93df90-94f2-45d6-8ef0-c467ed220111,"2020-05-31, 08:11:43 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,46.99.3.58
98a381f6-3aaa-4f00-9a89-20e6346d086c,"2020-05-31, 08:11:43 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYIUCX76LYBPBMP6E6""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::568283627415:user/CloudTrail""}]",,us-east-1,,46.99.3.58
840c0377-0c9e-4311-8a51-06899907b14b,"2020-05-31, 08:09:45 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::568283627415:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYIUCX76L6VAY2AD2E""}]",,us-east-1,,46.99.3.58
98f0d876-007a-4464-a9f1-bf67c79486c1,"2020-05-31, 08:09:45 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,46.99.3.58
241bf92a-8615-4983-be60-b46b0c1f064c,"2020-05-31, 08:09:24 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,46.99.3.58
96510f80-2fd8-40b5-b55e-e71596cb2f9e,"2020-05-31, 08:09:24 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYIUCX76LXMFV7LDDP""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::568283627415:group/CloudTrailAdmins""}]",,us-east-1,,46.99.3.58
6b8e913f-bfc7-42cf-986a-fa954cb05e61,"2020-05-31, 08:08:14 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,46.99.3.58
d97e2100-1a84-40df-89f9-208597264a97,"2020-05-31, 08:07:18 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,46.99.3.58
3731c8f2-0208-4e7d-86d3-723e8b415dcd,"2020-05-31, 08:06:10 PM",root,ConsoleLogin,,,,us-east-1,,46.99.3.58
